equipmentId;timestamp;value
EQ-90;2023-03-30T23:48:08.000-05:00;39.31
EQ-16;2023-10-19T20:12:46.000-05:00;35.42
EQ-56;2023-07-16T04:16:25.000-05:00;32.55
EQ-86;2024-03-18T15:23:58.000-05:00;35.11
EQ-29;2023-03-09T07:55:25.000-05:00;31.62
EQ-33;2023-12-04T19:06:30.000-05:00;28.11
EQ-07;2024-02-16T07:33:53.000-05:00;28.17
EQ-78;2023-03-18T04:33:35.000-05:00;24.97
EQ-27;2024-07-10T03:38:49.000-05:00;33.74
EQ-75;2024-02-07T10:54:32.000-05:00;23.95
EQ-82;2023-05-30T18:11:48.000-05:00;29.66
EQ-09;2024-02-02T21:12:46.000-05:00;25.49
EQ-84;2023-05-06T15:12:56.000-05:00;23.47
EQ-61;2024-06-16T05:48:34.000-05:00;37.96
EQ-01;2023-06-13T07:26:55.000-05:00;22.59
EQ-08;2024-03-12T13:33:41.000-05:00;36.19
EQ-14;2023-02-09T10:09:49.000-05:00;23.41
EQ-33;2024-06-08T23:01:07.000-05:00;34.5
EQ-21;2023-12-27T18:02:02.000-05:00;22.24
EQ-08;2024-04-20T16:33:46.000-05:00;36.69
EQ-41;2024-04-27T23:00:59.000-05:00;23.59
EQ-48;2024-07-02T20:09:36.000-05:00;34.63
EQ-97;2023-06-10T17:54:58.000-05:00;22.78
EQ-27;2024-09-14T06:50:32.000-05:00;37.56
EQ-42;2023-06-11T14:34:59.000-05:00;30.77
EQ-51;2023-04-11T05:06:15.000-05:00;38.24
EQ-42;2024-02-23T01:35:18.000-05:00;22.62
EQ-37;2023-10-19T21:04:26.000-05:00;27.36
EQ-54;2024-02-17T16:25:48.000-05:00;21.93
EQ-76;2023-10-29T14:52:06.000-05:00;20.54
EQ-32;2023-09-05T03:23:15.000-05:00;36.02
EQ-18;2023-07-16T00:10:48.000-05:00;25.78
EQ-93;2023-07-09T16:44:51.000-05:00;35.68
EQ-27;2023-02-08T03:57:28.000-05:00;22.58
EQ-87;2023-12-24T18:41:36.000-05:00;33.22
EQ-25;2024-05-28T08:11:50.000-05:00;26.59
EQ-76;2023-01-10T19:09:40.000-05:00;30.72
EQ-05;2024-04-30T04:44:21.000-05:00;25.67
EQ-94;2023-07-24T00:15:59.000-05:00;26.7
EQ-51;2024-07-22T00:44:28.000-05:00;25.03
EQ-68;2023-10-14T21:35:09.000-05:00;34.93
EQ-45;2023-10-30T11:27:49.000-05:00;22.14
EQ-56;2023-06-26T21:37:59.000-05:00;31.05
EQ-16;2024-08-28T21:02:17.000-05:00;38.19
EQ-79;2024-08-23T02:33:03.000-05:00;21.1
EQ-85;2024-06-01T08:43:55.000-05:00;29.54
EQ-40;2024-03-30T20:21:12.000-05:00;29.99
